sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
1,47,55,111,2.9,4.6
2,52,50,120,3.5,3.0
2,31,55,111,2.7,3.0
1,36,50,111,2.75,3.0
2,36,64,111,3.0,1.8
2,41,64,102,3.8,2.2
1,41,45,61,2.9,3.0
2,47,59,111,3.1,1.8
2,47,50,102,2.4,2.2
1,62,40,93,4.0,2.6000000000000005
2,47,69,102,2.7,2.6000000000000005
2,57,50,66,3.0,2.6000000000000005
1,52,50,102,2.9,1.8
1,52,50,129,2.5,1.8
1,36,64,120,3.4,1.8
2,57,64,111,4.0,2.6000000000000005
1,57,55,120,3.9,3.4000000000000004
1,62,40,111,2.75,2.2
1,52,64,93,2.75,1.8
1,47,50,102,3.8,2.2
2,52,69,120,3.9,2.6000000000000005
2,47,50,102,3.1,2.6000000000000005
1,52,55,75,2.25,2.2
1,41,55,66,3.5,1.8
1,47,55,93,3.1,4.6
1,57,35,84,3.5,4.6
2,52,35,84,2.3,3.4000000000000004
2,47,59,93,3.4,4.6
1,52,59,102,3.7,2.6000000000000005
2,36,59,129,3.8,2.6000000000000005
2,47,55,102,3.1,2.2
2,52,64,111,4.0,2.2
2,62,50,61,2.0,4.6
1,31,45,135,2.9,0.6000000000000001
2,47,45,111,2.7,4.6
1,62,59,129,4.0,3.4000000000000004
1,52,40,93,4.0,4.6
1,57,45,120,2.47,4.6
2,41,55,75,3.2,2.2
2,52,50,93,3.5,3.0
1,47,50,129,3.1,2.6000000000000005
1,47,50,102,3.5,1.8
1,41,32,102,3.8,2.6000000000000005
2,62,55,102,2.25,2.6000000000000005
2,41,35,111,4.0,2.2
2,41,45,66,3.3,1.8
2,57,59,135,3.7,3.4000000000000004
2,47,50,75,4.0,3.0
1,36,59,120,3.8,2.6000000000000005
2,62,69,93,4.0,2.2
2,57,59,84,3.7,1.8
1,52,64,93,3.0,1.4000000000000001
1,52,64,75,3.1,1.8
1,57,50,102,2.25,3.0
1,57,64,129,3.33,3.4000000000000004
2,28,59,135,3.75,3.0
1,47,35,102,3.8,3.0
2,62,59,93,2.5,2.2
2,47,55,111,2.75,3.4000000000000004
1,47,50,111,3.5,3.0
2,47,55,102,4.0,2.2
2,57,50,93,3.9,2.2
2,41,59,102,4.0,0.6000000000000001
1,36,64,120,4.5,4.6
2,52,50,93,3.2,3.4000000000000004
1,52,59,102,2.47,2.6000000000000005
2,47,55,84,3.75,3.4000000000000004
2,47,64,102,3.3,3.0
1,57,69,93,2.3,2.2
1,47,64,135,4.0,1.4000000000000001
2,52,35,61,3.7,3.0
2,52,50,102,3.2,2.2
2,36,50,111,3.8,4.6
2,62,50,66,3.75,0.6000000000000001
1,52,64,111,3.2,3.0
1,36,69,93,2.1,3.0
