sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
0,4,5,6,17,9
1,5,4,7,26,7
1,1,5,6,13,7
0,2,4,6,15,7
1,2,7,6,18,4
1,3,7,5,31,5
0,3,3,0,17,7
1,4,6,6,20,4
1,4,4,5,7,5
0,7,2,4,33,6
1,4,8,5,13,6
1,6,4,1,18,6
0,5,4,5,17,4
0,5,4,8,9,4
0,2,7,7,25,4
1,6,7,6,33,6
0,6,5,7,32,8
0,7,2,6,15,5
0,5,7,4,15,4
0,4,4,5,31,5
1,5,8,7,32,6
1,4,4,5,20,6
0,5,5,2,5,5
0,3,5,1,26,4
0,4,5,4,20,9
0,6,1,3,26,9
1,5,1,3,6,8
1,4,6,4,25,9
0,5,6,5,29,6
1,2,6,8,31,6
1,4,5,5,20,5
1,5,7,6,33,5
1,7,4,0,1,9
0,1,3,9,17,1
1,4,3,6,13,9
0,7,6,8,33,8
0,5,2,4,33,9
0,6,3,7,8,9
1,3,5,2,21,5
1,5,4,4,26,7
0,4,4,8,20,6
0,4,4,5,26,4
0,3,0,5,31,6
1,7,5,5,5,6
1,3,1,6,33,5
1,3,3,1,23,4
1,6,6,9,29,8
1,4,4,2,33,7
0,2,6,7,31,6
1,7,8,4,33,5
1,6,6,3,29,4
0,5,7,4,18,3
0,5,7,2,20,4
0,6,4,5,5,7
0,6,7,8,24,8
1,0,6,9,30,7
0,4,1,5,31,7
1,7,6,4,9,5
1,4,5,6,15,8
0,4,4,6,26,7
1,4,5,5,33,5
1,6,4,4,32,5
1,3,6,5,33,1
0,2,7,7,34,9
1,5,4,4,21,8
0,5,6,5,8,6
1,4,5,3,30,8
1,4,7,5,23,7
0,6,8,4,6,5
0,4,7,9,33,3
1,5,1,0,29,7
1,5,4,5,21,5
1,2,4,6,31,9
1,7,4,1,30,1
0,5,7,6,21,7
0,2,8,4,3,7
1,5,6,5,26,6
0,5,5,4,18,9
0,6,4,4,30,4
0,3,6,6,26,9
0,4,5,8,25,3
0,4,0,5,18,7
0,4,4,5,25,7
0,5,4,2,8,8
0,2,4,5,30,8
0,4,3,2,26,8
1,6,2,5,32,8
0,4,8,4,23,5
0,6,3,7,31,8
1,2,4,5,3,4
0,5,4,6,29,7
0,5,6,4,9,5
1,4,3,7,9,7
0,4,6,2,18,4
0,6,4,5,21,6
0,5,4,9,18,6
1,4,2,5,26,5
0,5,3,4,9,6
1,5,5,6,25,4
1,5,4,5,26,3
0,4,5,0,8,4
0,7,5,5,14,5
1,0,4,7,23,6
1,0,6,5,33,4
1,5,5,6,6,5
0,5,6,9,15,9
0,3,4,5,21,6
1,4,4,4,23,7
1,6,7,6,34,8
0,5,3,4,13,1
0,5,4,6,24,4
0,7,7,3,1,6
1,4,4,6,23,3
1,4,7,9,18,4
1,5,7,4,13,4
1,4,6,5,33,4
0,5,7,7,29,6
0,4,8,4,31,5
1,4,1,6,20,8
0,4,6,6,26,5
0,4,6,5,30,7
0,7,2,4,25,4
0,2,6,1,25,4
0,3,4,5,25,5
1,7,5,5,26,4
0,6,2,5,18,5
0,1,4,4,13,6
0,6,1,1,8,5
1,4,6,6,13,5
0,4,4,5,15,6
1,5,1,4,18,8
0,6,6,6,32,4
1,3,4,7,18,4
1,3,4,6,33,8
1,7,4,6,33,9
0,6,4,6,8,6
0,2,6,5,33,8
1,3,4,8,25,6
1,4,7,7,1,4
0,6,4,4,23,5
0,4,1,6,21,3
0,3,5,7,15,4
1,5,3,4,25,6
0,5,6,7,1,1
1,4,2,9,26,5
1,5,6,5,9,5
0,4,7,7,25,5
0,5,5,5,23,4
0,8,4,5,34,1
1,5,4,7,31,8
0,4,5,5,18,4
0,5,4,5,26,4
1,6,8,5,18,7
1,5,8,5,29,8
1,5,4,6,30,4
0,2,3,4,17,5
1,6,5,4,33,8
0,4,7,3,18,4
1,2,6,6,33,7
1,4,9,6,9,4
1,7,2,8,24,8
0,0,3,1,26,7
0,4,6,5,27,9
0,5,4,7,29,9
0,3,4,5,5,6
0,4,7,3,18,5
0,3,6,3,29,4
1,5,7,5,15,8
1,0,5,7,9,9
0,5,5,8,33,4
1,5,6,7,15,5
0,6,6,4,13,4
